Package                                                            Current          Wanted          Latest  Location                                                                              Depended by
@esbuild/win32-ia32                                                MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@esbuild/win32-x64                                                 MISSING          0.21.5          0.28.0  -                                                                                     esbuild
@eslint-community/eslint-utils                                       4.4.0           4.9.1           4.9.1  node_modules/@eslint-community/eslint-utils                                           eslint
@eslint-community/regexpp                                           4.11.0          4.12.2          4.12.2  node_modules/@eslint-community/regexpp                                                eslint
@eslint/config-array                                                0.17.1          0.17.1          0.23.4  node_modules/@eslint/config-array                                                     eslint
@eslint/eslintrc                                                     3.1.0           3.3.5           3.3.5  node_modules/@eslint/eslintrc                                                         eslint
@eslint/js                                                           9.8.0           9.8.0          10.0.1  node_modules/@eslint/js                                                               eslint
@eslint/js                                                           9.8.0          9.39.4          10.0.1  node_modules/@eslint/js                                                               web
@eslint/object-schema                                                2.1.4           2.1.7           3.0.4  node_modules/@eslint/object-schema                                                    @eslint/config-array
@floating-ui/react                                                 0.26.28         0.26.28         0.27.19  node_modules/@floating-ui/react                                                       @headlessui/react
@floating-ui/react                                                  0.19.2          0.19.2         0.27.19  node_modules/@tremor/react/node_modules/@floating-ui/react                            @tremor/react
@floating-ui/react-dom                                               1.3.0           1.3.0           2.1.8  node_modules/@tremor/react/node_modules/@floating-ui/react-dom                        @floating-ui/react
@formatjs/ecma402-abstract                                           2.0.0           2.0.0           3.2.0  node_modules/@formatjs/ecma402-abstract                                               @formatjs/icu-messageformat-parser
@formatjs/ecma402-abstract                                           2.0.0           2.0.0           3.2.0  node_modules/@formatjs/ecma402-abstract                                               @formatjs/icu-skeleton-parser
@formatjs/ecma402-abstract                                           2.0.0           2.0.0           3.2.0  node_modules/@formatjs/ecma402-abstract                                               intl-messageformat
@formatjs/fast-memoize                                               2.2.0           2.2.0           3.1.1  node_modules/@formatjs/fast-memoize                                                   intl-messageformat
@formatjs/icu-messageformat-parser                                   2.7.8           2.7.8           3.5.3  node_modules/@formatjs/icu-messageformat-parser                                       intl-messageformat
@formatjs/icu-skeleton-parser                                        1.8.2           1.8.2           2.1.3  node_modules/@formatjs/icu-skeleton-parser                                            @formatjs/icu-messageformat-parser
@formatjs/intl-localematcher                                         0.5.4           0.5.4           0.8.2  node_modules/@formatjs/intl-localematcher                                             @formatjs/ecma402-abstract
@headlessui/react                                                   1.7.19          1.7.19           2.2.9  node_modules/@tremor/react/node_modules/@headlessui/react                             @tremor/react
@headlessui/react                                                    2.2.0           2.2.9           2.2.9  node_modules/@headlessui/react                                                        web
@headlessui/tailwindcss                                              0.2.1           0.2.2           0.2.2  node_modules/@headlessui/tailwindcss                                                  @tremor/react
@headlessui/tailwindcss                                              0.2.1           0.2.2           0.2.2  node_modules/@headlessui/tailwindcss                                                  web
@humanwhocodes/retry                                                 0.3.0           0.3.1           0.4.3  node_modules/@humanwhocodes/retry                                                     eslint
@isaacs/cliui                                                        8.0.2           8.0.2           9.0.0  node_modules/@isaacs/cliui                                                            jackspeak
@jridgewell/gen-mapping                                              0.3.5          0.3.13          0.3.13  node_modules/@jridgewell/gen-mapping                                                  @ampproject/remapping
@jridgewell/gen-mapping                                              0.3.5          0.3.13          0.3.13  node_modules/@jridgewell/gen-mapping                                                  @babel/generator
@jridgewell/gen-mapping                                              0.3.5          0.3.13          0.3.13  node_modules/@jridgewell/gen-mapping                                                  sucrase
@jridgewell/sourcemap-codec                                          1.5.0           1.5.5           1.5.5  node_modules/@jridgewell/sourcemap-codec                                              @jridgewell/gen-mapping
@jridgewell/sourcemap-codec                                          1.5.0           1.5.5           1.5.5  node_modules/@jridgewell/sourcemap-codec                                              @jridgewell/trace-mapping
@jridgewell/trace-mapping                                           0.3.25          0.3.31          0.3.31  node_modules/@jridgewell/trace-mapping                                                @ampproject/remapping
@jridgewell/trace-mapping                                           0.3.25          0.3.31          0.3.31  node_modules/@jridgewell/trace-mapping                                                @babel/generator
@jridgewell/trace-mapping                                           0.3.25          0.3.31          0.3.31  node_modules/@jridgewell/trace-mapping                                                @jridgewell/gen-mapping
@mui/core-downloads-tracker                                          6.1.7           6.5.0           7.3.9  node_modules/@mui/core-downloads-tracker                                              @mui/material
@mui/icons-material                                                  6.1.7           6.5.0           7.3.9  node_modules/@mui/icons-material                                                      web
@mui/material                                                        6.1.7           6.5.0           7.3.9  node_modules/@mui/material                                                            @mui/icons-material
@mui/material                                                        6.1.7           6.5.0           7.3.9  node_modules/@mui/material                                                            web
@mui/material-pigment-css                                          MISSING           6.5.0           7.3.9  -                                                                                     @mui/material
@mui/private-theming                                                 6.1.7           6.4.9           7.3.9  node_modules/@mui/private-theming                                                     @mui/system
@mui/styled-engine                                                   6.1.7           6.5.0           7.3.9  node_modules/@mui/styled-engine                                                       @mui/system
@mui/system                                                          6.1.7           6.5.0           7.3.9  node_modules/@mui/system                                                              @mui/material
@mui/types                                                          7.2.19          7.4.12          7.4.12  node_modules/@mui/types                                                               @mui/material
@mui/types                                                          7.2.19          7.4.12          7.4.12  node_modules/@mui/types                                                               @mui/system
@mui/types                                                          7.2.19          7.4.12          7.4.12  node_modules/@mui/types                                                               @mui/utils
@mui/utils                                                           6.1.7           6.4.9           7.3.9  node_modules/@mui/utils                                                               @mui/material
@mui/utils                                                           6.1.7           6.4.9           7.3.9  node_modules/@mui/utils                                                               @mui/private-theming
@mui/utils                                                           6.1.7           6.4.9           7.3.9  node_modules/@mui/utils                                                               @mui/system
@nextui-org/accordion                                               2.0.38          2.0.38           2.2.7  node_modules/@nextui-org/accordion                                                    @nextui-org/react
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/accordion
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/autocomplete
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/date-picker
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/dropdown
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/listbox
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/menu
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/popover
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/select
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/tabs
@nextui-org/aria-utils                                              2.0.24          2.0.24           2.2.7  node_modules/@nextui-org/aria-utils                                                   @nextui-org/tooltip
@nextui-org/autocomplete                                             2.1.5           2.1.5           2.3.9  node_modules/@nextui-org/autocomplete                                                 @nextui-org/react
@nextui-org/avatar                                                  2.0.32          2.0.32           2.2.6  node_modules/@nextui-org/avatar                                                       @nextui-org/react
@nextui-org/avatar                                                  2.0.32          2.0.32           2.2.6  node_modules/@nextui-org/avatar                                                       @nextui-org/user
@nextui-org/badge                                                   2.0.31          2.0.31           2.2.5  node_modules/@nextui-org/badge                                                        @nextui-org/react
@nextui-org/breadcrumbs                                             2.0.12          2.0.12           2.2.6  node_modules/@nextui-org/breadcrumbs                                                  @nextui-org/react
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/autocomplete
@nextui-org/button                                                  2.0.37          2.0.37           2.2.9  node_modules/@nextui-org/button                                                       @nextui-org/calendar
